month,demand
2023-01-01,130
2023-02-01,126
2023-03-01,140
2023-04-01,141
2023-05-01,121
2023-06-01,129
2023-07-01,137
2023-08-01,121
2023-09-01,110
2023-10-01,98
2023-11-01,120
2023-12-01,135
2024-01-01,144
2024-02-01,158
2024-03-01,153
2024-04-01,142
2024-05-01,155
2024-06-01,147
2024-07-01,158
2024-08-01,138
2024-09-01,124
2024-10-01,115
2024-11-01,138
2024-12-01,143
2025-01-01,155
2025-02-01,161
2025-03-01,168
2025-04-01,167
2025-05-01,170
2025-06-01,173
2025-07-01,183
2025-08-01,150
2025-09-01,136
2025-10-01,129
2025-11-01,148
2025-12-01,168
2026-01-01,172
2026-02-01,173
2026-03-01,172
2026-04-01,184
2026-05-01,188
2026-06-01,189
2026-07-01,175
2026-08-01,171
2026-09-01,156
2026-10-01,152
2026-11-01,165
2026-12-01,176
