month,forecast_demand,forecast_error_sd,service_level,safety_stock,recommended_order_up_to
2027-01-01,197.1,6.34,0.95,10.4,208
2027-02-01,202.3,6.34,0.95,10.4,213
2027-03-01,200.3,6.34,0.95,10.4,211
2027-04-01,199.0,6.34,0.95,10.4,210
2027-05-01,202.4,6.34,0.95,10.4,213
2027-06-01,205.9,6.34,0.95,10.4,217
2027-07-01,202.2,6.34,0.95,10.4,213
2027-08-01,189.2,6.34,0.95,10.4,200
2027-09-01,174.8,6.34,0.95,10.4,186
2027-10-01,170.2,6.34,0.95,10.4,181
2027-11-01,180.2,6.34,0.95,10.4,191
2027-12-01,198.7,6.34,0.95,10.4,210
